Platform,North America,Europe,Japan,Rest of World,unknown_sales,Global,,released_date,discontinued_date,failure_rate_percentage,vendor,id
3DO Interactive Multiplayer (3DO),0,0,0,0,,2,,,,,,37
ColecoVision (CV),0,0,0,0,,2,,,,,,38
Neo Geo Pocket (NGP),0,0,0.55,0,,2,,,,,,39
Magnavox Odyssey 2 (Odys2),0,0,0,0,,2,,,,,,40
Sega SG (SG),0,0,1.92,0,,1.92,,,,,,41
TurboExpress (TE),0,0,0,0,,1.5,,,,,,42
Neo Geo (NG),0,0,1,0,,1.06,,,,,,43
Atari Lynx (Lynx),0,0,0,0,,1,,,,,,44
Atari 5200 (5200),1,0,0,0,,1,,,,,,45
CD-i (CDi),0.4,0,0,0,,1,,,,,,46
Coleco Telstar (CT),1,0,0,0,,1,,,,,,47
Dingoo (Ding),0,0,0,1,,1,,,,,,48
Genesis Nomad (GN),1,0,0,0,,1,,,,,,49
Sega 32X (S32X),0,0,0,0,,0.8,,,,,,50
Virtual Boy (VB),0,0,0.14,0,,0.77,,,,,,51
Neo Geo CD (NGCD),0,0,0,0,,0.57,,,,,,52
Cybiko (Cyb),0,0,0,0,,0.5,,,,,,53
PC-FX (PCFX),0,0,0.4,0,,0.4,,,,,,54
Cassette Vision (CaVi),0,0,0.4,0,,0.4,,,,,,55
Fairchild Channel F (FCF),0,0,0,0,,0.35,,,,,,56
Magnavox Odyssey (Odys),0,0,0,0,,0.35,,,,,,57
Game.com (Ga),0,0,0,0,,0.3,,,,,,58
Super Cassette Vision (SCaVi),0,0,0.3,0,,0.3,,,,,,59
Atari Jaguar (AJ),0,0,0,0,,0.25,,,,,,60
Tapwave Zodiac (TZ),0,0,0,0,,0.2,,,,,,61
Ouya (Ouya),0,0,0,0,,0.2,,,,,,62
Neo Geo Pocket Color (NGPC),0,0.1,0.03,0,,0.13,,,,,,63
Tomy Tutor (TT),0,0,0.12,0,,0.12,,,,,,64
Amiga CD32 (CD32),0,0.1,0,0,,0.1,,,,,,65
PC Engine SuperGrafx (SGrafx),0,0,0.08,0,,0.08,,,,,,66
Game Wave (GW),0.07,0,0,0,,0.07,,,,,,67
GP2X (GP2X),0,0,0,0.06,,0.06,,,,,,68
RCA Studio II (RCA),0.06,0,0,0,,0.06,,,,,,69
Playdate (PD),0,0,0,0,,0.05,,,,,,70
APF-MP1000 (MP1000),0.05,0,0,0,,0.05,,,,,,71
FM Towns Marty (FMTM),0,0,0.05,0,,0.05,,,,,,72
Apple Pippin (AP),0,0,0,0,,0.04,,,,,,73
GamePark 32 (GP32),0,0,0,0,,0.03,,,,,,74
Gizmondo (GIZ),0,0,0,0,,0.02,,,,,,75
Amstrad GX4000 (GX4000),0,0.02,0,0,,0.02,,,,,,76
Commodore 64 Games System (C64GS),0,0.02,0,0,,0.02,,,,,,77
IQue Player (IQue),0,0,0,0.01,,0.01,,,,,,78
Tandy Video Information System (VIS),0.01,0,0,0,,0.01,,,,,,79
HyperScan (HS),0,0,0,0,,0.01,,,,,,80
Adventure Vision (AV),0.01,0,0,0,,0.01,,,,,,81
Palmtex Portable Videogame System (PVS),0.01,0,0,0,,0.01,,,,,,82
Pandora (Pa),0,0,0,0,,0.01,,,,,,83
